player_id,full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
2064,DeMarcus Lawrence,DeMarcus,Lawrence,32.0,DAL,DE,DL,LDE,1.0,Active,90.0,75,265,Boise State,10.0,,2024-09-17
1284,Lance Dunbar,Lance,Dunbar,30.0,,RB,RB,,,Inactive,25.0,"5'8""",187,North Texas,8.0,,2024-09-17
2801,DeAndrew White,DeAndrew,White,30.0,,WR,WR,,,Inactive,18.0,72,195,Alabama,7.0,Questionable,2024-09-17
4501,Devaroe Lawrence,Devaroe,Lawrence,29.0,,DT,DL,,,Active,0.0,74,294,Auburn,5.0,,2024-09-17
5852,DeAndre Baker,DeAndre,Baker,24.0,,CB,DB,,,Active,30.0,71,186,Georgia,3.0,,2024-09-17
1073,Taylor Thompson,Taylor,Thompson,27.0,,TE,TE,,,Inactive,84.0,"6'6""",268,SMU,3.0,,2024-09-17
3374,Kevon Seymour,Kevon,Seymour,30.0,,CB,DB,,,Inactive,25.0,72,188,USC,8.0,,2024-09-17
8012,Corey Straughter,Corey,Straughter,23.0,,CB,DB,,,Active,0.0,70,183,Louisiana-Monroe,1.0,,2024-09-17
7918,A.J. Rose,A.J.,Rose,24.0,,RB,RB,,,Active,24.0,73,212,Kentucky,1.0,,2024-09-17
777,Erik Pears,Erik,Pears,38.0,,T,OL,,,Inactive,71.0,"6'8""",316,Colorado State,15.0,,2024-09-17
5428,Ricky Jeune,Ricky,Jeune,28.0,,WR,WR,,,Active,2.0,75,212,Georgia Tech,4.0,,2024-09-17
1982,Aaron Colvin,Aaron,Colvin,30.0,,CB,DB,,,Active,34.0,72,191,Oklahoma,8.0,,2024-09-17
12376,Marquis Wilson,Marquis,Wilson,,,DB,DB,,,Active,,71,185,Purdue,0.0,,2024-09-17
7882,Christian Uphoff,Christian,Uphoff,23.0,,DB,DB,,,Active,0.0,75,195,Illinois State,1.0,,2024-09-17
8733,Jacob Hummel,Jacob,Hummel,25.0,LAR,LB,LB,RILB,2.0,Active,35.0,73,229,Iowa State,2.0,,2024-09-17
11522,Jerome Kapp,Jerome,Kapp,24.0,,WR,WR,,,Active,31.0,75,210,Kutztown,1.0,,2024-09-17
2474,Nick Boyle,Nick,Boyle,29.0,,TE,TE,,,Active,86.0,76,261,Delaware,8.0,,2024-09-17
8852,Ty Clary,Ty,Clary,23.0,,OL,OL,,,Active,61.0,76,299,Arkansas,0.0,,2024-09-17
8809,Aaron Shampklin,Aaron,Shampklin,24.0,PIT,RB,RB,,,Active,33.0,70,195,Harvard,2.0,,2024-09-17
9487,Parker Washington,Parker,Washington,22.0,JAX,WR,WR,SWR,4.0,Active,11.0,70,204,Penn State,1.0,,2024-09-17
6923,Geno Stone,Geno,Stone,25.0,CIN,DB,DB,FS,1.0,Active,22.0,71,210,Iowa,4.0,,2024-09-17
1907,Johnny Manziel,Johnny,Manziel,27.0,,QB,QB,,,Inactive,2.0,"6'0""",210,Texas A&M,6.0,,2024-09-17
7325,Joe Gaziano,Joe,Gaziano,27.0,JAX,DE,DL,,,Active,97.0,76,280,Northwestern,4.0,,2024-09-17
8716,Jarrid Williams,Jarrid,Williams,26.0,,OL,OL,,,Active,76.0,78,308,Miami (FL),1.0,,2024-09-17
6648,Brock Ruble,Brock,Ruble,26.0,,OT,OL,,,Active,72.0,80,325,Toledo,3.0,,2024-09-17
3342,Jakeem Grant,Jakeem,Grant,31.0,,WR,WR,,,Inactive,84.0,67,172,Texas Tech,8.0,Questionable,2024-09-17
1684,Jaron Brown,Jaron,Brown,32.0,,WR,WR,,,Active,18.0,75,205,Clemson,9.0,,2024-09-17
3268,Eric Murray,Eric,Murray,30.0,HOU,DB,DB,FS,2.0,Active,23.0,71,199,Minnesota,8.0,,2024-09-17
4449,Nicholas Morrow,Nicholas,Morrow,29.0,BUF,LB,LB,ROLB,2.0,Active,32.0,72,216,Greenville,7.0,,2024-09-17
11072,Joshua Pryor,Joshua,Pryor,24.0,,DL,DL,,,Active,47.0,76,280,Bowie State,1.0,,2024-09-17
6918,Salvon Ahmed,Salvon,Ahmed,25.0,,RB,RB,,,Active,26.0,71,197,Washington,4.0,Questionable,2024-09-17
6137,Tommy Sweeney,Tommy,Sweeney,29.0,,TE,TE,,,Active,47.0,77,255,Boston College,5.0,,2024-09-17
11340,Brad Cecil,Brad,Cecil,23.0,,OL,OL,,,Active,64.0,76,300,South Florida,0.0,,2024-09-17
5668,Aaron Stinnie,Aaron,Stinnie,30.0,NYG,G,"OG,OL",OL,,Active,64.0,75,312,James Madison,6.0,,2024-09-17
3561,Bryce Williams,Bryce,Williams,28.0,,TE,TE,,,Active,80.0,78,258,East Carolina,6.0,,2024-09-17
832,Ryan Whalen,Ryan,Whalen,29.0,,WR,WR,,,Inactive,81.0,"6'1""",202,Stanford,3.0,,2024-09-17
6751,Duplicate Player,Duplicate,Player,,,,None,,,Inactive,0.0,,,,0.0,,2024-09-17
3356,Kyle Murphy,Kyle,Murphy,28.0,NO,OT,"OL,OT",,,Active,79.0,78,305,Stanford,6.0,,2024-09-17
6786,CeeDee Lamb,CeeDee,Lamb,25.0,DAL,WR,WR,LWR,1.0,Active,88.0,74,200,Oklahoma,4.0,,2024-09-17
5038,Michael Gallup,Michael,Gallup,28.0,,WR,WR,,,Active,10.0,73,205,Colorado State,6.0,NA,2024-09-17
10938,DJ Johnson,DJ,Johnson,25.0,CAR,LB,LB,ROLB,1.0,Active,52.0,76,260,Oregon,1.0,,2024-09-17
4433,Xavier Coleman,Xavier,Coleman,26.0,,CB,DB,,,Inactive,0.0,71,190,Portland State,5.0,,2024-09-17
11584,Bucky Irving,Bucky,Irving,22.0,TB,RB,RB,RB,2.0,Active,7.0,70,195,Oregon,0.0,,2024-09-17
1195,Doug Martin,Doug,Martin,32.0,,RB,RB,,,Inactive,22.0,69,210,Boise State,10.0,,2024-09-17
2023,De'Anthony Thomas,De'Anthony,Thomas,29.0,,WR,WR,,,Inactive,16.0,68,176,Oregon,8.0,,2024-09-17
1461,Mike Catapano,Mike,Catapano,30.0,,LB,"DL,LB",,,Inactive,48.0,"6'4""",270,Princeton,7.0,,2024-09-17
7116,Kevin Dotson,Kevin,Dotson,27.0,LAR,OL,OL,OL,,Active,69.0,76,330,Louisiana,4.0,,2024-09-17
4907,Nick Sirianni,Nick,Sirianni,,,,None,,,Inactive,0.0,,,,0.0,,2024-09-17
11649,Kendall Milton,Kendall,Milton,22.0,CIN,RB,RB,,,Active,36.0,73,230,Georgia,0.0,,2024-09-17
6783,Jerry Jeudy,Jerry,Jeudy,25.0,CLE,WR,WR,RWR,2.0,Active,3.0,73,195,Alabama,4.0,,2024-09-17
5592,Tejan Koroma,Tejan,Koroma,25.0,,C,OL,,,Active,73.0,72,290,Brigham Young,4.0,,2024-09-17
2481,Max Valles,Max,Valles,26.0,,LB,"DL,LB",,,Inactive,54.0,"6'5""",251,Virginia,5.0,,2024-09-17
221,Brent Celek,Brent,Celek,35.0,,TE,TE,,,Inactive,87.0,"6'4""",255,Cincinnati,13.0,,2024-09-17
387,Knowshon Moreno,Knowshon,Moreno,30.0,,RB,RB,,,Inactive,28.0,"5'11""",210,Georgia,6.0,,2024-09-17
8432,Player Invalid,Player,Invalid,,,TE,TE,,,Inactive,,,,,0.0,,2024-09-17
7232,Rashad Smith,Rashad,Smith,25.0,,LB,LB,,,Active,59.0,73,220,Florida Atlantic,2.0,,2024-09-17
12213,Anthony Sao,Anthony,Sao,23.0,,CB,DB,,,Active,37.0,73,200,MidAmerican Nazarene,0.0,,2024-09-17
11616,Jacob Cowing,Jacob,Cowing,23.0,SF,WR,WR,SWR,4.0,Active,19.0,69,171,Arizona,0.0,,2024-09-17
5965,Miles Boykin,Miles,Boykin,27.0,,WR,WR,,,Active,81.0,76,220,Notre Dame,5.0,,2024-09-17
2125,Andrew Peacock,Andrew,Peacock,26.0,,WR,WR,,,Inactive,1.0,"5'9""",195,Appalachian State,1.0,,2024-09-17
11770,JD Bertrand,JD,Bertrand,24.0,ATL,LB,LB,LILB,2.0,Active,40.0,73,233,Notre Dame,0.0,,2024-09-17
4992,Dante Pettis,Dante,Pettis,28.0,,WR,WR,,,Inactive,81.0,73,195,Washington,6.0,Questionable,2024-09-17
1590,Eric Reid,Eric,Reid,30.0,,SS,DB,,,Active,25.0,73,213,Louisiana State,9.0,,2024-09-17
4804,Darrell Brown,Darrell,Brown,28.0,,OT,OL,,,Active,66.0,76,305,Louisiana Tech,5.0,,2024-09-17
4529,Ryan Lewis,Ryan,Lewis,27.0,,CB,DB,,,Inactive,37.0,72,185,Pittsburgh,5.0,,2024-09-17
439,JJ Jansen,JJ,Jansen,38.0,CAR,LS,LS,LS,,Active,44.0,74,235,Notre Dame,16.0,,2024-09-17
6858,James Lynch,James,Lynch,25.0,TEN,DT,DL,NT,2.0,Active,97.0,76,289,Baylor,4.0,,2024-09-17
1510,Jordan Mills,Jordan,Mills,31.0,,T,"OL,OT",,,Active,79.0,77,311,Louisiana Tech,9.0,,2024-09-17
4925,Jordan Wade,Jordan,Wade,,OAK,G,OL,,,Active,0.0,"6'3""",311,Oklahoma,1.0,,2024-09-17
3620,Bralon Addison,Bralon,Addison,28.0,,WR,WR,,,Inactive,89.0,70,190,Oregon,6.0,,2024-09-17
11155,Christian Sims,Christian,Sims,22.0,,TE,TE,,,Active,46.0,74,243,Bowling Green,1.0,,2024-09-17
1995,Telvin Smith,Telvin,Smith,30.0,,LB,LB,,,Injured Reserve,0.0,75,215,Florida State,8.0,,2024-09-17
10926,Marte Mapu,Marte,Mapu,24.0,NE,DB,DB,DB,,Inactive,15.0,75,230,Sacramento State,1.0,IR,2024-09-17
9504,Kayshon Boutte,Kayshon,Boutte,22.0,NE,WR,WR,RWR,5.0,Active,9.0,71,197,LSU,1.0,Out,2024-09-17
4828,Rashard Davis,Rashard,Davis,26.0,,WR,WR,,,Active,6.0,69,180,James Madison,5.0,,2024-09-17
1914,Dri Archer,Dri,Archer,29.0,,RB,RB,,,Inactive,13.0,"5'8""",173,Kent State,6.0,,2024-09-17
11525,Daniel Whelan,Daniel,Whelan,24.0,,P,P,,,Active,0.0,78,221,UC Davis,0.0,,2024-09-17
1711,Darren Woodard,Darren,Woodard,27.0,,CB,DB,,,Inactive,35.0,"5'11""",170,Texas - El Paso,1.0,,2024-09-17
4396,Drew Morgan,Drew,Morgan,27.0,,WR,WR,,,Active,81.0,72,187,Arkansas,5.0,,2024-09-17
4038,John Ross,John,Ross,28.0,,WR,WR,,,Active,83.0,71,190,Washington,7.0,,2024-09-17
1148,Kyle Wilber,Kyle,Wilber,33.0,,LB,LB,,,Active,58.0,76,240,Wake Forest,10.0,,2024-09-17
914,Leonard Hankerson,Leonard,Hankerson,31.0,,WR,WR,,,Inactive,80.0,"6'2""",211,Miami,9.0,,2024-09-17
1649,Jordan Kovacs,Jordan,Kovacs,30.0,,DB,DB,,,Inactive,42.0,"5'10""",210,Michigan,7.0,,2024-09-17
11439,Jaleel McLaughlin,Jaleel,McLaughlin,24.0,DEN,RB,RB,RB,2.0,Active,38.0,67,187,Youngstown State,1.0,,2024-09-17
11282,Johnny King,Johnny,King,23.0,,WR,WR,,,Active,43.0,77,209,Southeast Missouri State,1.0,,2024-09-17
3730,Tevin Jones,Tevin,Jones,29.0,,WR,WR,,,Active,0.0,74,225,Memphis,6.0,,2024-09-17
7153,Kyle Hinton,Kyle,Hinton,26.0,ATL,G,OL,OL,,Active,68.0,74,295,Washburn,4.0,,2024-09-17
3414,Anthony Sarao,Anthony,Sarao,25.0,,ILB,LB,,,Inactive,47.0,"5'11""",233,Southern Cal,0.0,,2024-09-17
186,DeMarcus Ware,DeMarcus,Ware,38.0,,DE,"DL,LB",,,Inactive,94.0,"6'4""",258,Troy,15.0,,2024-09-17
11450,Tyler Beach,Tyler,Beach,25.0,,OL,OL,,,Active,69.0,78,290,Wisconsin,1.0,,2024-09-17
11109,Mark Evans,Mark,Evans,24.0,,OL,OL,,,Active,68.0,76,295,Arkansas-Pine Bluff,1.0,,2024-09-17
1150,Shea McClellin,Shea,McClellin,31.0,,LB,LB,,,Inactive,58.0,"6'3""",250,Boise State,8.0,,2024-09-17
1813,Randell Johnson,Randell,Johnson,29.0,,LB,LB,,,Inactive,49.0,"6'4""",245,Florida Atlantic,6.0,,2024-09-17
4788,Duplicate Player,Duplicate,Player,24.0,,CB,DB,,,Inactive,30.0,"6'1""",188,Youngstown State,1.0,,2024-09-17
8533,Josh Sokol,Josh,Sokol,25.0,,C,None,,,Active,60.0,75,290,Sacred Heart,1.0,,2024-09-17
2330,Shaq Thompson,Shaq,Thompson,30.0,CAR,LB,LB,LILB,1.0,Active,54.0,72,230,Washington,9.0,,2024-09-17
1609,Chris Pantale,Chris,Pantale,31.0,,TE,TE,,,Inactive,86.0,77,254,Boston College,9.0,,2024-09-17
5718,Ryan Yurachek,Ryan,Yurachek,25.0,,TE,TE,,,Active,42.0,72,239,Marshall,4.0,,2024-09-17
3916,David Watford,David,Watford,28.0,,WR,WR,,,Active,14.0,74,212,Hampton,6.0,,2024-09-17
6639,Terrell Bonds,Terrell,Bonds,26.0,,CB,DB,,,Active,47.0,68,182,Tennessee State,3.0,,2024-09-17
5530,Evan Berry,Evan,Berry,26.0,,WR,WR,,,Active,0.0,71,205,Tennessee,4.0,,2024-09-17
11445,Taylor Grimes,Taylor,Grimes,23.0,,WR,WR,,,Active,13.0,71,188,Incarnate Word,1.0,,2024-09-17
174,Jay Ratliff,Jay,Ratliff,39.0,,NT,DL,,,Inactive,90.0,"6'4""",303,Auburn,15.0,,2024-09-17
5619,Dalyn Dawkins,Dalyn,Dawkins,27.0,,RB,RB,,,Active,28.0,67,185,Colorado State,4.0,,2024-09-17
5122,Boston Scott,Boston,Scott,29.0,,RB,RB,,,Active,33.0,66,203,Louisiana Tech,6.0,Questionable,2024-09-17
7823,Nate Hobbs,Nate,Hobbs,25.0,LV,CB,DB,LCB,1.0,Active,39.0,72,195,Illinois,3.0,,2024-09-17
5396,Sergio Bailey II,Sergio,Bailey II,29.0,,WR,WR,,,Inactive,83.0,"6'0""",190,None,0.0,NA,2024-09-17
7160,Ledarius Mack,Ledarius,Mack,25.0,,LB,"DL,LB",,,Inactive,43.0,73,237,Buffalo,2.0,Questionable,2024-09-17
2854,Kenny Horsley,Kenny,Horsley,29.0,,DT,DL,,,Inactive,69.0,"6'7""",290,None,0.0,,2024-09-17
11629,Devontez Walker,Devontez,Walker,23.0,BAL,WR,WR,RWR,4.0,Active,81.0,73,198,North Carolina,0.0,Out,2024-09-17
6623,Jomon Dotson,Jomon,Dotson,,,DB,DB,,,Inactive,0.0,70,180,Nevada,3.0,,2024-09-17
5031,Oren Burks,Oren,Burks,29.0,PHI,LB,LB,RILB,3.0,Active,42.0,75,233,Vanderbilt,6.0,,2024-09-17
680,Kory Lichtensteiger,Kory,Lichtensteiger,35.0,,C,OL,,,Inactive,78.0,"6'2""",296,Bowling Green,12.0,,2024-09-17
12446,Marvin Moody,Marvin,Moody,,,LB,LB,,,Active,36.0,74,230,Tulane,1.0,,2024-09-17
526,Arthur Jones,Arthur,Jones,35.0,,DE,DL,,,Inactive,96.0,75,320,Syracuse,12.0,,2024-09-17
12342,Travis Benham,Travis,Benham,,,P,P,,,Active,,75,197,Montana,0.0,,2024-09-17
7229,Dieter Eiselen,Dieter,Eiselen,28.0,,OL,OL,,,Active,60.0,76,300,Yale,4.0,,2024-09-17
6478,Ryan Crozier,Ryan,Crozier,26.0,,G,OL,,,Active,63.0,76,294,Connecticut,3.0,,2024-09-17
3060,Kevin Coyle,Kevin,Coyle,,,,None,,,Inactive,0.0,,,,,,2024-09-17
2109,Ryan Groy,Ryan,Groy,31.0,,G,OL,,,Inactive,72.0,77,320,Wisconsin,8.0,Questionable,2024-09-17
5003,Shaquem Griffin,Shaquem,Griffin,26.0,,LB,LB,,,Active,0.0,72,227,UCF,4.0,,2024-09-17
355,Brian Leonard,Brian,Leonard,33.0,,RB,RB,,,Inactive,40.0,"6'1""",230,Rutgers,7.0,,2024-09-17
506,David Nelson,David,Nelson,31.0,,WR,WR,,,Inactive,15.0,"6'5""",214,Florida,5.0,,2024-09-17
737,Mickey Shuler,Mickey,Shuler,33.0,,TE,TE,,,Inactive,82.0,"6'4""",247,Penn State,10.0,,2024-09-17
1749,Jake Stoneburner,Jake,Stoneburner,31.0,,TE,TE,,,Inactive,49.0,"6'3""",249,Ohio State,7.0,,2024-09-17
4758,Brett Veach,Brett,Veach,,,,None,,,Inactive,0.0,,,,0.0,,2024-09-17
8361,Damarion Williams,Damarion,Williams,26.0,,DB,DB,,,Active,24.0,70,180,Houston,2.0,,2024-09-17
3054,Tyreek Burwell,Tyreek,Burwell,28.0,,T,OL,,,Inactive,65.0,"6'5""",305,Cincinnati,5.0,,2024-09-17
2320,Melvin Gordon,Melvin,Gordon,30.0,,RB,RB,,,Active,33.0,73,215,Wisconsin,9.0,,2024-09-17
11037,Cory Trice,Cory,Trice,24.0,PIT,CB,DB,RCB,2.0,Active,27.0,75,206,Purdue,1.0,,2024-09-17
1100,Jared Crick,Jared,Crick,31.0,,DE,DL,,,Inactive,93.0,"6'4""",285,Nebraska,8.0,,2024-09-17
1895,AJ McCarron,AJ,McCarron,33.0,,QB,QB,,,Active,4.0,75,220,Alabama,10.0,,2024-09-17
11906,Ty James,Ty,James,23.0,,WR,WR,,,Active,40.0,74,200,Mercer,0.0,,2024-09-17
5040,Tarvarius Moore,Tarvarius,Moore,28.0,CHI,DB,DB,,,Active,30.0,74,200,Southern Miss,6.0,,2024-09-17
2496,Malcolm Johnson,Malcolm,Johnson,29.0,,FB,RB,,,Active,0.0,73,231,Mississippi State,7.0,,2024-09-17
3876,Michael Wakefield,Michael,Wakefield,24.0,,OLB,LB,WLB,2.0,Inactive,45.0,"6'3""",254,Florida International,0.0,,2024-09-17
7144,Clay Johnston,Clay,Johnston,27.0,,LB,LB,,,Active,44.0,73,232,Baylor,4.0,,2024-09-17
3728,Brian Price,Brian,Price,27.0,,DT,DL,,,Injured Reserve,0.0,75,322,UTSA,6.0,,2024-09-17
6581,Derick Roberson,Derick,Roberson,26.0,,LB,LB,,,Active,42.0,75,250,Sam Houston State,3.0,,2024-09-17
4712,Johnny Ragin,Johnny,Ragin,26.0,,ILB,LB,,,Active,0.0,75,225,Oregon,5.0,,2024-09-17
1660,Brynden Trawick,Brynden,Trawick,32.0,,FS,DB,,,Active,31.0,74,225,Troy,9.0,,2024-09-17
287,Brad Smith,Brad,Smith,33.0,,WR,WR,,,Inactive,16.0,"6'2""",212,Missouri,9.0,,2024-09-17
7258,Luke Sellers,Luke,Sellers,24.0,,FB,RB,,,Inactive,47.0,73,245,South Dakota State,2.0,,2024-09-17
3040,David Irving,David,Irving,28.0,,DE,DL,,,Inactive,95.0,79,273,Iowa State,7.0,,2024-09-17
12028,TaMerik Williams,TaMerik,Williams,,,RB,RB,,,Active,31.0,72,227,North Dakota State,0.0,,2024-09-17
521,Jeff Cumberland,Jeff,Cumberland,33.0,,TE,TE,,,Inactive,87.0,"6'4""",260,Illinois,10.0,,2024-09-17
7399,Bejour Wilson,Bejour,Wilson,24.0,,CB,DB,,,Active,22.0,69,172,Liberty,2.0,,2024-09-17
1279,Orie Lemon,Orie,Lemon,33.0,,LB,LB,,,Inactive,45.0,"6'1""",242,Oklahoma State,9.0,,2024-09-17
4379,Geoff Gray,Geoff,Gray,27.0,,G,OL,,,Inactive,79.0,77,315,"Manitoba, Can.",5.0,,2024-09-17
1991,Rashaad Reynolds,Rashaad,Reynolds,30.0,,CB,DB,,,Active,43.0,71,187,Oregon State,8.0,,2024-09-17
11512,Tyrus Wheat,Tyrus,Wheat,24.0,DAL,DE,DL,LDE,3.0,Active,91.0,74,260,Mississippi State,1.0,,2024-09-17
3488,D.J. Foster,D.J.,Foster,28.0,,RB,RB,,,Inactive,37.0,72,205,Arizona State,6.0,,2024-09-17
11044,Nick Broeker,Nick,Broeker,23.0,HOU,OL,OL,OL,,Active,64.0,77,305,Ole Miss,1.0,,2024-09-17
630,Phillip Adams,Phillip,Adams,32.0,,CB,DB,,,Inactive,20.0,"5'11""",195,South Carolina State,10.0,,2024-09-17
5557,Emmanuel Beal,Emmanuel,Beal,26.0,,ILB,LB,,,Active,43.0,72,218,Oklahoma,4.0,,2024-09-17
4909,Duce Staley,Duce,Staley,,,RB,RB,,,Inactive,22.0,,,,0.0,,2024-09-17
1412,Shamarko Thomas,Shamarko,Thomas,30.0,,SS,DB,,,Inactive,38.0,69,205,Syracuse,9.0,,2024-09-17
3697,Kyle Rose,Kyle,Rose,25.0,,NT,DL,,,Inactive,63.0,"6'4""",293,West Virginia,0.0,,2024-09-17
4281,Josh Carraway,Josh,Carraway,27.0,,OLB,LB,,,Inactive,42.0,75,242,Texas Christian,5.0,,2024-09-17
12244,DeAngelo Hardy,DeAngelo,Hardy,,,WR,WR,,,Active,5.0,73,208,North Central,0.0,,2024-09-17
7497,Kamaal Seymour,Kamaal,Seymour,26.0,,OT,"OL,OT",,,Active,63.0,78,319,Rutgers,2.0,,2024-09-17
489,Jamon Meredith,Jamon,Meredith,34.0,,T,OL,,,Inactive,79.0,"6'5""",312,South Carolina,11.0,,2024-09-17
1387,Rex Burkhead,Rex,Burkhead,32.0,,RB,RB,,,Active,28.0,70,215,Nebraska,10.0,,2024-09-17
3759,Gabe Hughes,Gabe,Hughes,24.0,,TE,TE,,,Inactive,89.0,"6'4""",241,Florida Tech,0.0,,2024-09-17
8030,Emmanuel Rugamba,Emmanuel,Rugamba,23.0,,CB,DB,,,Active,0.0,71,194,Miami (OH),1.0,,2024-09-17
5832,Mercy Maston,Mercy,Maston,29.0,,CB,DB,,,Active,0.0,71,208,Boise State,3.0,,2024-09-17
11122,Andrew Farmer,Andrew,Farmer,24.0,DEN,LB,LB,,,Active,98.0,76,250,Lane,1.0,,2024-09-17
6559,Tanner Volson,Tanner,Volson,25.0,,C,OL,,,Active,63.0,76,303,North Dakota State,3.0,,2024-09-17
7386,Malcolm Elmore,Malcolm,Elmore,23.0,,DB,DB,,,Active,28.0,71,185,Central Methodist,2.0,,2024-09-17
7553,Kyle Pitts,Kyle,Pitts,23.0,ATL,TE,TE,TE,1.0,Active,8.0,78,246,Florida,3.0,,2024-09-17
5143,Demario Richard,Demario,Richard,25.0,,RB,RB,,,Active,0.0,70,219,Arizona State,4.0,,2024-09-17
5308,Duplicate Player,Duplicate,Player,22.0,LAR,DE,DL,LDE,2.0,Inactive,94.0,"6'4""",283,Stephen F. Austin,1.0,Out,2024-09-17
1172,Don Barclay,Don,Barclay,31.0,,G,OL,,,Inactive,67.0,"6'4""",305,West Virginia,8.0,,2024-09-17
5617,Austin Barnard,Austin,Barnard,26.0,,P,P,,,Active,3.0,75,207,Samford,4.0,,2024-09-17
5664,Trent Harris,Trent,Harris,27.0,,LB,LB,,,Active,57.0,74,255,Miami (FL),5.0,,2024-09-17
2874,Leon Mackey,Leon,Mackey,28.0,,DE,DL,,,Inactive,78.0,"6'5""",260,Texas Tech,1.0,,2024-09-17
4065,Derek Barnett,Derek,Barnett,28.0,HOU,DE,DL,LDE,2.0,Active,95.0,75,259,Tennessee,7.0,,2024-09-17
7501,Evan Foster,Evan,Foster,,,S,DB,,,Inactive,,"6'0""",215,Syracuse,0.0,,2024-09-17
8410,Jequez Ezzard,Jequez,Ezzard,,,WR,WR,,,Active,0.0,70,195,Sam Houston State,1.0,Questionable,2024-09-17
5845,Dwayne Haskins,Dwayne,Haskins,24.0,PIT,QB,QB,,,Active,3.0,76,230,Ohio State,3.0,,2024-09-17
2025,Albert Wilson,Albert,Wilson,30.0,,WR,WR,,,Active,12.0,69,195,Georgia State,9.0,,2024-09-17
5838,Phillip Andersen,Phillip,Andersen,30.0,,K,K,,,Active,0.0,71,206,No College,3.0,,2024-09-17
12300,Joshua Lingenfelter,Joshua,Lingenfelter,,,TE,TE,,,Active,,75,250,Army,0.0,,2024-09-17
767,Chris Baker,Chris,Baker,32.0,,DT,DL,,,Inactive,92.0,"6'2""",320,Hampton,11.0,,2024-09-17
8645,Benjie Franklin,Benjie,Franklin,26.0,,CB,DB,,,Active,34.0,72,172,Tarleton State,1.0,,2024-09-17
1523,Josh Boyd,Josh,Boyd,31.0,,DT,DL,,,Inactive,60.0,"6'3""",310,Mississippi State,7.0,,2024-09-17
11134,Kaleb Hayes,Kaleb,Hayes,25.0,,CB,DB,,,Active,46.0,72,195,BYU,1.0,,2024-09-17
11304,E.J. Jenkins,E.J.,Jenkins,25.0,PHI,TE,TE,TE,5.0,Active,84.0,78,245,Georgia Tech,1.0,,2024-09-17
8502,Cade Mays,Cade,Mays,25.0,NYG,OL,OL,,,Active,62.0,78,325,Tennessee,2.0,,2024-09-17
10940,Nick Herbig,Nick,Herbig,22.0,PIT,LB,"DL,LB",ROLB,2.0,Active,51.0,74,240,Wisconsin,1.0,,2024-09-17
5534,Elijah Campbell,Elijah,Campbell,29.0,MIA,DB,DB,FS,2.0,Active,22.0,71,200,Northern Iowa,6.0,,2024-09-17
4746,Ryan Reid,Ryan,Reid,27.0,,CB,DB,,,Active,35.0,71,190,Baylor,5.0,,2024-09-17
7970,Ar'Darius Washington,Ar'Darius,Washington,24.0,BAL,DB,DB,FS,2.0,Active,29.0,68,180,TCU,3.0,,2024-09-17
19,Joe Flacco,Joe,Flacco,39.0,IND,QB,QB,QB,2.0,Active,15.0,78,230,Delaware,16.0,,2024-09-17
