full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Tavius Robinson,Tavius,Robinson,25.0,BAL,DE,DL,ROLB,2.0,Active,95.0,78,262.0,Ole Miss,1.0,,2024-09-17
Je'Ron Hamm,Je'Ron,Hamm,29.0,,TE,TE,,,Inactive,41.0,75,236.0,Louisiana-Monroe,8.0,,2024-09-17
Michael Furtney,Michael,Furtney,,,OL,OL,,,Active,,77,316.0,Wisconsin,0.0,,2024-09-17
Anders Carlson,Anders,Carlson,26.0,,K,K,,,Active,17.0,77,219.0,Auburn,1.0,,2024-09-17
Pharoh Cooper,Pharoh,Cooper,28.0,,WR,WR,,,Active,0.0,71,207.0,South Carolina,7.0,,2024-09-17
Quinton Flowers,Quinton,Flowers,27.0,,QB,QB,,,Inactive,36.0,70,210.0,South Florida,4.0,,2024-09-17
Jackson Powers-Johnson,Jackson,Powers-Johnson,21.0,LV,OL,OL,OL,,Active,58.0,75,328.0,Oregon,0.0,Out,2024-09-17
Da'Shawn Hand,Da'Shawn,Hand,28.0,MIA,DT,DL,RDE,2.0,Active,90.0,75,302.0,Alabama,6.0,,2024-09-17
Jahwan Edwards,Jahwan,Edwards,26.0,,RB,RB,,,Inactive,40.0,"5'9""",220.0,Ball State,0.0,,2024-09-17
Daikiel Shorts,Daikiel,Shorts,27.0,,WR,WR,,,Active,16.0,73,202.0,West Virginia,5.0,,2024-09-17
LeShun Daniels,LeShun,Daniels,26.0,,RB,RB,,,Inactive,46.0,72,225.0,Iowa,5.0,,2024-09-17
Ryan McKinley,Ryan,McKinley,,,CB,DB,,,Active,0.0,73,193.0,Montana,4.0,,2024-09-17
Ja'Sir Taylor,Ja'Sir,Taylor,25.0,LAC,DB,DB,NB,1.0,Active,36.0,70,185.0,Wake Forest,2.0,,2024-09-17
Chris Brooks,Chris,Brooks,24.0,GB,RB,RB,,,Active,30.0,73,219.0,BYU,1.0,,2024-09-17
Xavier Su'a-Filo,Xavier,Su'a-Filo,31.0,CIN,G,"OG,OL",,,Active,72.0,76,312.0,UCLA,8.0,,2024-09-17
Christian Wade,Christian,Wade,30.0,,RB,RB,,,Inactive,0.0,69,196.0,,3.0,,2024-09-17
Taylor Moton,Taylor,Moton,30.0,CAR,T,"OL,OT",OL,,Active,72.0,77,325.0,Western Michigan,7.0,,2024-09-17
Keondre Coburn,Keondre,Coburn,24.0,TEN,DT,DL,LDE,2.0,Active,91.0,74,332.0,Texas,1.0,,2024-09-17
Israel Mukuamu,Israel,Mukuamu,24.0,DAL,DB,DB,NB,2.0,Active,24.0,76,205.0,South Carolina,3.0,,2024-09-17
Chris Evans,Chris,Evans,26.0,CIN,RB,RB,RB,4.0,Inactive,25.0,71,215.0,Michigan,3.0,IR,2024-09-17
Jermaine Gresham,Jermaine,Gresham,33.0,,TE,TE,,,Inactive,84.0,77,260.0,Oklahoma,12.0,,2024-09-17
Johari Branch,Johari,Branch,24.0,,C,,,,Active,61.0,74,314.0,Maryland,0.0,,2024-09-17
Quinton Jefferson,Quinton,Jefferson,31.0,CLE,DT,DL,RDT,2.0,Active,72.0,76,290.0,Maryland,8.0,,2024-09-17
Roddy White,Roddy,White,38.0,,WR,WR,,,Inactive,84.0,"6'0""",211.0,Alabama-Birmingham,15.0,,2024-09-17
Dylan Laube,Dylan,Laube,24.0,LV,RB,RB,RB,4.0,Active,23.0,70,206.0,New Hampshire,0.0,Out,2024-09-17
Ryan Kerrigan,Ryan,Kerrigan,33.0,,DE,"DL,LB",,,Active,90.0,76,267.0,Purdue,11.0,,2024-09-17
Andrew Beck,Andrew,Beck,28.0,GB,RB,RB,,,Active,47.0,75,252.0,Texas,5.0,,2024-09-17
Kadarius Toney,Kadarius,Toney,25.0,CLE,WR,WR,,,Active,87.0,72,193.0,Florida,3.0,Questionable,2024-09-17
Matt Tobin,Matt,Tobin,31.0,,G,OL,,,Inactive,64.0,78,303.0,Iowa,9.0,,2024-09-17
Quez Watkins,Quez,Watkins,26.0,PIT,WR,WR,,,Active,16.0,72,193.0,Southern Miss,4.0,,2024-09-17
Nick Williams,Nick,Williams,34.0,,DE,DL,,,Active,69.0,76,310.0,Samford,11.0,,2024-09-17
Sean Richardson,Sean,Richardson,30.0,,SS,DB,,,Inactive,28.0,"6'2""",216.0,Vanderbilt,8.0,,2024-09-17
Bryce Cheek,Bryce,Cheek,25.0,,CB,DB,,,Inactive,45.0,"6'0""",194.0,Akron,0.0,,2024-09-17
Quinton Patton,Quinton,Patton,30.0,,WR,WR,,,Injured Reserve,11.0,"6'0""",204.0,Louisiana Tech,7.0,,2024-09-17
Malcom Floyd,Malcom,Floyd,39.0,,WR,WR,,,Inactive,80.0,"6'5""",225.0,Wyoming,16.0,,2024-09-17
Sione Houma,Sione,Houma,24.0,,RB,RB,,,Inactive,39.0,"5'11""",252.0,Michigan,0.0,,2024-09-17
Anthony Boone,Anthony,Boone,25.0,,QB,QB,,,Inactive,16.0,"6'0""",239.0,Duke,0.0,,2024-09-17
Vi Teofilo,Vi,Teofilo,24.0,,G,OL,LG,3.0,Inactive,64.0,"6'3""",305.0,Arizona State,0.0,,2024-09-17
Antwaan Randle El,Antwaan,Randle El,38.0,,WR,WR,,,Inactive,82.0,"5'10""",185.0,Indiana,9.0,,2024-09-17
Jake Long,Jake,Long,35.0,,T,OL,,,Inactive,72.0,"6'7""",319.0,Michigan,12.0,,2024-09-17
Leki Fotu,Leki,Fotu,26.0,NYJ,DT,DL,DL,,Inactive,92.0,77,335.0,Utah,4.0,IR,2024-09-17
Cade Otton,Cade,Otton,25.0,TB,TE,TE,TE,1.0,Active,88.0,77,247.0,Washington,2.0,,2024-09-17
Adrian Coxson,Adrian,Coxson,,,WR,WR,,,Inactive,0.0,,,,,,2024-09-17
Kourtnei Brown,Kourtnei,Brown,32.0,,LB,"DL,LB",,,Injured Reserve,56.0,"6'4""",253.0,Clemson,8.0,,2024-09-17
Ryan Williams,Ryan,Williams,27.0,,RB,RB,,,Inactive,34.0,"5'9""",207.0,Virginia Tech,2.0,,2024-09-17
Marquis Young,Marquis,Young,26.0,,RB,RB,,,Active,40.0,71,210.0,Massachusetts,3.0,,2024-09-17
Julien Obioha,Julien,Obioha,27.0,,DE,DL,,,Active,0.0,76,280.0,Texas A&M,6.0,,2024-09-17
Nick Martin,Nick,Martin,29.0,,C,OL,,,Active,60.0,76,299.0,Notre Dame,7.0,,2024-09-17
Derrick Deese,Derrick,Deese,24.0,,TE,TE,,,Active,86.0,76,248.0,San Jose State,2.0,,2024-09-17
Davis Webb,Davis,Webb,28.0,,QB,QB,,,Active,12.0,77,225.0,California,6.0,,2024-09-17
Chris Moore,Chris,Moore,31.0,ARI,WR,WR,LWR,5.0,Active,10.0,73,200.0,Cincinnati,8.0,,2024-09-17
Stephen Sullivan,Stephen,Sullivan,27.0,,TE,TE,,,Inactive,84.0,77,245.0,LSU,4.0,Questionable,2024-09-17
Alfred Blue,Alfred,Blue,30.0,,RB,RB,,,Inactive,23.0,74,225.0,Louisiana State,8.0,,2024-09-17
Duke Williams,Duke,Williams,29.0,,SS,DB,,,Inactive,31.0,"5'11""",201.0,Nevada,7.0,,2024-09-17
Corey Taylor,Corey,Taylor,24.0,,RB,RB,,,Active,0.0,70,215.0,Tulsa,1.0,,2024-09-17
Darnell Holland,Darnell,Holland,25.0,,RB,RB,,,Active,0.0,70,195.0,Kennesaw State,3.0,,2024-09-17
Brenden Bates,Brenden,Bates,24.0,NYJ,TE,TE,TE,6.0,Active,84.0,77,255.0,Kentucky,0.0,,2024-09-17
Nick Gates,Nick,Gates,28.0,PHI,C,OL,OL,,Active,61.0,77,312.0,Nebraska,6.0,,2024-09-17
Max Mitchell,Max,Mitchell,24.0,NYJ,T,OL,OL,,Active,61.0,78,307.0,Louisiana,2.0,Out,2024-09-17
Quenton Nelson,Quenton,Nelson,28.0,IND,OL,OL,OL,,Active,56.0,77,330.0,Notre Dame,6.0,,2024-09-17
Ernst Brun Jr,Ernst,Brun Jr,26.0,,TE,TE,,,Inactive,40.0,"6'3""",251.0,Iowa State,0.0,,2024-09-17
Austin Larkin,Austin,Larkin,27.0,,DE,DL,,,Active,96.0,75,265.0,Purdue,4.0,,2024-09-17
Leon Orr,Leon,Orr,28.0,,DT,DL,,,Inactive,96.0,"6'5""",320.0,Florida,5.0,,2024-09-17
Charles Johnson,Charles,Johnson,34.0,,DE,"DL,WR",,,Inactive,95.0,"6'2""",278.0,Georgia,13.0,,2024-09-17
Lucky Whitehead,Lucky,Whitehead,28.0,,WR,WR,,,Injured Reserve,82.0,"5'9""",163.0,Florida Atlantic,5.0,,2024-09-17
John Dorsey,John,Dorsey,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Corey Dublin,Corey,Dublin,,,OL,OL,,,Active,59.0,75,299.0,Tulane,0.0,,2024-09-17
T.J. Linta,T.J.,Linta,,,QB,QB,,,Active,0.0,76,240.0,Wagner,3.0,,2024-09-17
John Leglue,John,Leglue,28.0,PIT,OT,"OL,OT",,,Active,68.0,79,310.0,Tulane,5.0,,2024-09-17
Willie Snead,Willie,Snead,31.0,,WR,WR,,,Inactive,82.0,71,195.0,Ball State,10.0,Questionable,2024-09-17
Brandon Bolden,Brandon,Bolden,34.0,,RB,RB,,,Active,34.0,71,220.0,Ole Miss,12.0,,2024-09-17
Nick Rose,Nick,Rose,27.0,,K,K,,,Inactive,6.0,73,194.0,Texas,6.0,,2024-09-17
C.J. Germany,C.J.,Germany,,,WR,WR,,,Active,2.0,71,180.0,"Notre Dame College, Ohio",5.0,,2024-09-17
Casey Toohill,Casey,Toohill,28.0,BUF,DE,DL,LDE,2.0,Active,99.0,77,254.0,Stanford,4.0,,2024-09-17
T.D. Moultry,T.D.,Moultry,,,LB,LB,,,Active,0.0,74,253.0,Auburn,1.0,Questionable,2024-09-17
Breiden Fehoko,Breiden,Fehoko,27.0,,NT,DL,,,Inactive,96.0,75,300.0,LSU,4.0,Questionable,2024-09-17
A.J. Derby,A.J.,Derby,30.0,,TE,TE,,,Inactive,81.0,77,240.0,Arkansas,7.0,,2024-09-17
Michael Barrett,Michael,Barrett,24.0,CLE,LB,LB,,,Active,48.0,72,239.0,Michigan,0.0,,2024-09-17
Tevin McDonald,Tevin,McDonald,28.0,,FS,DB,,,Inactive,37.0,"5'11""",195.0,Eastern Washington,5.0,,2024-09-17
Kahlef Hailassie,Kahlef,Hailassie,23.0,CLE,CB,DB,LCB,2.0,Active,25.0,73,195.0,Western Kentucky,1.0,Out,2024-09-17
Tayo Fabuluje,Tayo,Fabuluje,29.0,,T,"DB,OL",,,Inactive,73.0,"6'6""",342.0,Texas Christian,5.0,,2024-09-17
DeAndre Square,DeAndre,Square,23.0,,LB,LB,,,Active,58.0,72,226.0,Kentucky,1.0,Questionable,2024-09-17
Donald Butler,Donald,Butler,31.0,,LB,LB,,,Inactive,56.0,"6'1""",242.0,Washington,10.0,,2024-09-17
John Conner,John,Conner,32.0,,FB,RB,,,Inactive,38.0,"5'11""",245.0,Kentucky,10.0,,2024-09-17
Bralen Trice,Bralen,Trice,23.0,ATL,DE,DL,LB,,Inactive,48.0,75,245.0,Washington,0.0,IR,2024-09-17
Connor Jessop,Connor,Jessop,,,QB,QB,,,Active,2.0,77,220.0,Shepherd,4.0,,2024-09-17
Christian Harris,Christian,Harris,23.0,HOU,LB,LB,LB,,Inactive,48.0,74,232.0,Alabama,2.0,IR,2024-09-17
Giovanni Ricci,Giovanni,Ricci,27.0,,FB,TE,,,Active,44.0,75,240.0,Western Michigan,4.0,Questionable,2024-09-17
Avery Moss,Avery,Moss,27.0,,DE,"DL,LB",,,Active,0.0,75,271.0,Youngstown State,5.0,,2024-09-17
Dontez Byrd,Dontez,Byrd,26.0,,WR,WR,,,Active,19.0,71,180.0,Tennessee Tech,4.0,,2024-09-17
Deyshawn Bond,Deyshawn,Bond,27.0,,C,OL,,,Inactive,69.0,73,299.0,Cincinnati,5.0,,2024-09-17
Ryan Otten,Ryan,Otten,27.0,,TE,TE,,,Inactive,82.0,"6'5""",241.0,San Jose State,1.0,,2024-09-17
Clayton Echard,Clayton,Echard,25.0,,TE,TE,TE,7.0,Inactive,85.0,"6'5""",260.0,Missouri,0.0,,2024-09-17
Tre'Quan Smith,Tre'Quan,Smith,28.0,DET,WR,WR,,8.0,Inactive,10.0,74,210.0,UCF,6.0,IR,2024-09-17
Kimani Vidal,Kimani,Vidal,23.0,LAC,RB,RB,RB,4.0,Active,30.0,68,215.0,Troy,0.0,Out,2024-09-17
David Jones,David,Jones,28.0,,FS,DB,,,Active,34.0,75,210.0,Richmond,5.0,,2024-09-17
Gary Jennings,Gary,Jennings,26.0,,WR,WR,,,Active,86.0,73,216.0,West Virginia,4.0,,2024-09-17
Jamari Staples,Jamari,Staples,27.0,,WR,WR,,,Active,6.0,76,195.0,Louisville,5.0,,2024-09-17
Jon Feliciano,Jon,Feliciano,32.0,SF,OG,"OG,OL",OL,,Inactive,55.0,76,325.0,Miami (FL),9.0,IR,2024-09-17
Drew Scott,Drew,Scott,26.0,KC,LS,LS,,,Active,0.0,73,209.0,Kansas State,4.0,,2024-09-17
Greg Newsome,Greg,Newsome,24.0,CLE,CB,DB,RCB,1.0,Active,0.0,72,192.0,Northwestern,3.0,,2024-09-17
Bradley Chubb,Bradley,Chubb,28.0,MIA,LB,"DL,LB",LB,,Active,2.0,76,268.0,North Carolina State,6.0,PUP,2024-09-17
Chris Board,Chris,Board,29.0,BAL,LB,LB,LILB,2.0,Active,49.0,74,240.0,North Dakota State,6.0,,2024-09-17
Jon Dietzen,Jon,Dietzen,25.0,,OL,OL,,,Active,0.0,78,319.0,Wisconsin,1.0,,2024-09-17
Player Invalid,Player,Invalid,,,LB,LB,,,Inactive,,,,,0.0,,2024-09-17
Wes Welker,Wes,Welker,39.0,,WR,WR,,,Inactive,19.0,"5'9""",185.0,Texas Tech,16.0,,2024-09-17
Reshad Jones,Reshad,Jones,33.0,,FS,DB,,,Active,20.0,73,215.0,Georgia,12.0,,2024-09-17
Alec Anderson,Alec,Anderson,24.0,BUF,OL,OL,OL,,Active,70.0,77,305.0,UCLA,2.0,,2024-09-17
Earnest Brown,Earnest,Brown,25.0,TB,DE,DL,DL,,Inactive,97.0,77,300.0,Northwestern,3.0,IR,2024-09-17
Fitzgerald Toussaint,Fitzgerald,Toussaint,30.0,,RB,RB,,,Inactive,33.0,"5'9""",204.0,Michigan,6.0,,2024-09-17
Ray Agnew,Ray,Agnew,24.0,,FB,RB,,,Inactive,48.0,"5'10""",242.0,Southern Illinois,1.0,,2024-09-17
Dwayne Gratz,Dwayne,Gratz,30.0,,CB,DB,,,Inactive,36.0,"5'11""",201.0,Connecticut,7.0,,2024-09-17
Louis Palmer,Louis,Palmer,23.0,,DE,DL,,,Inactive,67.0,"6'2""",265.0,Central Michigan,0.0,,2024-09-17
Matt Jones,Matt,Jones,27.0,,RB,RB,,,Inactive,38.0,"6'2""",239.0,Florida,5.0,,2024-09-17
Odafe Oweh,Odafe,Oweh,25.0,BAL,LB,"DL,LB",LOLB,1.0,Active,99.0,77,255.0,Penn State,3.0,,2024-09-17
Jeff Overbaugh,Jeff,Overbaugh,28.0,,LS,LS,,,Inactive,46.0,74,240.0,San Diego State,6.0,,2024-09-17
Trinity Benson,Trinity,Benson,26.0,,WR,WR,,,Active,82.0,72,180.0,East Central,4.0,,2024-09-17
BJ Larsen,BJ,Larsen,28.0,,DE,DL,,,Inactive,69.0,"6'5""",269.0,Utah State,0.0,,2024-09-17
Brandon Barden,Brandon,Barden,28.0,,TE,TE,,,Inactive,85.0,"6'4""",251.0,Vanderbilt,2.0,,2024-09-17
Winston Reid,Winston,Reid,25.0,CLE,LB,LB,LOLB,2.0,Active,59.0,72,225.0,Weber State,2.0,,2024-09-17
Isaiah Pead,Isaiah,Pead,30.0,,RB,RB,,,Inactive,22.0,"5'10""",204.0,Cincinnati,8.0,,2024-09-17
Rakeem Nunez-Roches,Rakeem,Nunez-Roches,31.0,NYG,DT,DL,RDT,1.0,Active,93.0,74,305.0,Southern Miss,9.0,,2024-09-17
Duplicate Player,Duplicate,Player,,ARI,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Max Tuerk,Max,Tuerk,27.0,,G,OL,,,Inactive,79.0,77,298.0,Southern California,6.0,,2024-09-17
Tory Carter,Tory,Carter,23.0,,FB,RB,,,Active,44.0,72,229.0,LSU,1.0,,2024-09-17
Gavin Holmes,Gavin,Holmes,24.0,,WR,WR,,,Active,84.0,70,200.0,Baylor,1.0,,2024-09-17
Jason Babin,Jason,Babin,40.0,,LB,LB,,,Inactive,58.0,"6'3""",267.0,Western Michigan,16.0,,2024-09-17
Ryan Wright,Ryan,Wright,24.0,MIN,P,P,P,,Active,17.0,75,245.0,Tulane,2.0,,2024-09-17
Kenny Logan,Kenny,Logan,23.0,,DB,DB,,,Active,46.0,72,210.0,Kansas,0.0,,2024-09-17
Trevon Clark,Trevon,Clark,23.0,,WR,WR,,,Active,0.0,75,193.0,California,1.0,,2024-09-17
Kyle Woestmann,Kyle,Woestmann,25.0,,OLB,LB,,,Inactive,48.0,"6'3""",248.0,Vanderbilt,0.0,,2024-09-17
Thyrick Pitts,Thyrick,Pitts,25.0,,WR,WR,,,Inactive,16.0,74,201.0,Delaware,1.0,Questionable,2024-09-17
Khalil Herbert,Khalil,Herbert,26.0,CHI,RB,RB,RB,2.0,Active,24.0,69,212.0,Virginia Tech,3.0,,2024-09-17
Trevor Reid,Trevor,Reid,23.0,,OT,OT,,,Active,74.0,76,311.0,Louisville,0.0,,2024-09-17
Harrison Butker,Harrison,Butker,29.0,KC,K,K,K,1.0,Active,7.0,76,205.0,Georgia Tech,7.0,,2024-09-17
Dax Swanson,Dax,Swanson,28.0,,CB,DB,,,Inactive,28.0,"5'11""",185.0,Sam Houston State,1.0,,2024-09-17
Ulrick John,Ulrick,John,29.0,,T,OL,,,Inactive,65.0,77,307.0,Georgia State,8.0,,2024-09-17
Perrion Winfrey,Perrion,Winfrey,23.0,,DL,DL,,,Active,92.0,76,290.0,Oklahoma,2.0,Questionable,2024-09-17
Marc-Antoine Dequoy,Marc-Antoine,Dequoy,27.0,,DB,DB,,,Active,46.0,75,195.0,"Montreal, Can.",2.0,,2024-09-17
Steven Sims,Steven,Sims,27.0,HOU,WR,WR,SWR,7.0,Active,82.0,70,176.0,Kansas,5.0,,2024-09-17
Isaiah Battle,Isaiah,Battle,27.0,,T,OL,,,Inactive,79.0,"6'7""",290.0,Clemson,5.0,,2024-09-17
Ryan Mueller,Ryan,Mueller,26.0,,FB,RB,,,Inactive,45.0,"6'2""",248.0,Kansas State,0.0,,2024-09-17
Tyler Davis,Tyler,Davis,27.0,,K,K,,,Active,0.0,71,180.0,Penn State,4.0,,2024-09-17
Nate Gilliam,Nate,Gilliam,27.0,,G,"OG,OL",,,Active,66.0,77,300.0,Wake Forest,4.0,,2024-09-17
Tae Daley,Tae,Daley,24.0,,DB,DB,,,Active,0.0,71,201.0,Virginia Tech,2.0,Questionable,2024-09-17
Aiulua Fanene,Aiulua,Fanene,,GB,DT,DL,,,Active,62.0,"6'4""",280.0,Arizona,1.0,,2024-09-17
Ko Kieft,Ko,Kieft,26.0,TB,TE,TE,TE,4.0,Active,41.0,77,265.0,Minnesota,2.0,,2024-09-17
Folorunso Fatukasi,Folorunso,Fatukasi,29.0,HOU,DT,DL,LDT,1.0,Active,91.0,76,318.0,UConn,6.0,,2024-09-17
Cameron Smith,Cameron,Smith,24.0,,LB,LB,,,Injured Reserve,0.0,74,235.0,USC,3.0,,2024-09-17
Dai'Jean Dixon,Dai'Jean,Dixon,24.0,,WR,WR,,,Active,0.0,76,200.0,Nicholls State,2.0,,2024-09-17
Tyjon Lindsey,Tyjon,Lindsey,24.0,,WR,WR,,,Active,81.0,68,171.0,Oregon State,1.0,,2024-09-17
Vance McDonald,Vance,McDonald,31.0,,TE,TE,,,Injured Reserve,0.0,76,267.0,Rice,9.0,,2024-09-17
Jaylon McClain-Sapp,Jaylon,McClain-Sapp,23.0,,DB,DB,,,Inactive,0.0,70,183.0,Marshall,1.0,,2024-09-17
Boris Anyama,Boris,Anyama,25.0,,ILB,LB,,,Inactive,46.0,"6'3""",232.0,Louisiana Lafayette,0.0,,2024-09-17
Michael Burton,Michael,Burton,32.0,DEN,FB,RB,RB,3.0,Active,20.0,72,247.0,Rutgers,9.0,,2024-09-17
Keaton Ellis,Keaton,Ellis,23.0,,DB,DB,,,Active,31.0,71,185.0,Penn State,0.0,,2024-09-17
Sean Rhyan,Sean,Rhyan,24.0,GB,OL,OL,OL,,Active,75.0,77,321.0,UCLA,2.0,,2024-09-17
Lyndon Johnson,Lyndon,Johnson,27.0,,NT,DL,,,Inactive,0.0,77,287.0,Cincinnati,4.0,,2024-09-17
Azeez Ojulari,Azeez,Ojulari,24.0,NYG,LB,"DL,LB",RDE,2.0,Active,51.0,75,240.0,Georgia,3.0,,2024-09-17
Ray Smith,Ray,Smith,24.0,,DT,DL,,,Injured Reserve,77.0,73,310.0,Boston College,3.0,,2024-09-17
Garth Gerhart,Garth,Gerhart,29.0,,C,OL,,,Inactive,62.0,"6'1""",310.0,Arizona State,2.0,,2024-09-17
Sandro Platzgummer,Sandro,Platzgummer,25.0,,RB,RB,,,Active,34.0,72,198.0,,3.0,,2024-09-17
Najee Goode,Najee,Goode,32.0,,LB,LB,,,Active,52.0,72,244.0,West Virginia,10.0,,2024-09-17
Paul Quessenberry,Paul,Quessenberry,30.0,,TE,TE,,,Active,40.0,74,250.0,Navy,2.0,,2024-09-17
Jaxon Smith-Njigba,Jaxon,Smith-Njigba,22.0,SEA,WR,WR,SWR,2.0,Active,11.0,72,197.0,Ohio State,1.0,,2024-09-17
Lew Nichols,Lew,Nichols,23.0,,RB,RB,,,Active,38.0,70,220.0,Central Michigan,1.0,,2024-09-17
Ryan Neal,Ryan,Neal,28.0,,SS,DB,,,Active,23.0,75,200.0,Southern Illinois,6.0,,2024-09-17
Jayson Ademilola,Jayson,Ademilola,24.0,,DT,DL,,,Active,66.0,75,285.0,Notre Dame,1.0,,2024-09-17
Stephen Ross,Stephen,Ross,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Jamar Taylor,Jamar,Taylor,31.0,,CB,DB,,,Active,0.0,71,192.0,Boise State,9.0,,2024-09-17
Bryce Baringer,Bryce,Baringer,25.0,NE,P,P,P,,Active,17.0,74,215.0,Michigan State,1.0,,2024-09-17
Isaiah Davis,Isaiah,Davis,22.0,NYJ,RB,RB,RB,4.0,Active,32.0,73,220.0,South Dakota State,0.0,,2024-09-17
J.D. Walton,J.D.,Walton,33.0,,C,OL,,,Inactive,66.0,"6'3""",305.0,Baylor,10.0,,2024-09-17
Jaylen Waddle,Jaylen,Waddle,25.0,MIA,WR,WR,LWR,2.0,Active,17.0,70,185.0,Alabama,3.0,,2024-09-17
Cedric Benson,Cedric,Benson,37.0,,RB,RB,,,Inactive,32.0,"5'11""",227.0,Texas,0.0,,2024-09-17
Duplicate Player,Duplicate,Player,,,,,,,,,,,,,,2024-09-17
Antonio Allen,Antonio,Allen,30.0,,FS,DB,,,Inactive,39.0,"6'1""",202.0,South Carolina,5.0,,2024-09-17
Zach Orr,Zach,Orr,28.0,,LB,LB,,,Inactive,54.0,"6'0""",237.0,North Texas,6.0,,2024-09-17
Player Invalid,Player,Invalid,,,RB,RB,,,Inactive,,,,,0.0,,2024-09-17
Derrius Guice,Derrius,Guice,24.0,,RB,RB,,,Active,0.0,71,225.0,LSU,4.0,,2024-09-17
Sean McDermott,Sean,McDermott,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Bennett Jackson,Bennett,Jackson,30.0,,DB,DB,,,Active,0.0,72,192.0,Notre Dame,8.0,,2024-09-17
Juron Criner,Juron,Criner,27.0,,WR,WR,,,Inactive,84.0,"6'2""",220.0,Arizona,2.0,,2024-09-17
Naquan Jones,Naquan,Jones,26.0,MIA,DT,DL,,,Active,97.0,75,313.0,Michigan State,3.0,,2024-09-17
Trevor Graham,Trevor,Graham,31.0,,WR,WR,,,Inactive,87.0,"6'0""",180.0,North Carolina State,8.0,,2024-09-17
Chris Campbell,Chris,Campbell,26.0,,CB,DB,,,Active,35.0,73,194.0,Penn State,4.0,,2024-09-17
Steve Longa,Steve,Longa,27.0,,OLB,LB,,,Active,54.0,72,240.0,Rutgers,6.0,,2024-09-17
Chip Kelly,Chip,Kelly,,,,,,,Inactive,0.0,,,,0.0,,2024-09-17
Jalen Wydermyer,Jalen,Wydermyer,22.0,,TE,TE,,,Active,49.0,77,265.0,Texas A&M,1.0,,2024-09-17
J.T. Gray,J.T.,Gray,28.0,NO,DB,DB,SS,2.0,Active,48.0,72,202.0,Mississippi State,6.0,,2024-09-17
Trevion Thompson,Trevion,Thompson,26.0,,WR,WR,,,Active,87.0,74,205.0,Clemson,3.0,,2024-09-17
Tarheeb Still,Tarheeb,Still,22.0,LAC,DB,DB,LCB,2.0,Active,29.0,73,196.0,Maryland,0.0,Out,2024-09-17
Nate Wieland,Nate,Wieland,24.0,,LB,LB,,,Active,0.0,73,223.0,Grand View,1.0,,2024-09-17
Akeem Ayers,Akeem,Ayers,31.0,,LB,LB,,,Inactive,48.0,"6'3""",255.0,UCLA,9.0,,2024-09-17
Carl Bradford,Carl,Bradford,29.0,,ILB,LB,,,Inactive,53.0,73,248.0,Arizona State,8.0,,2024-09-17
Thomas Duarte,Thomas,Duarte,26.0,,TE,TE,,,Inactive,85.0,74,241.0,UCLA,6.0,,2024-09-17
Darrius Heyward-Bey,Darrius,Heyward-Bey,34.0,,WR,WR,,,Inactive,88.0,74,210.0,Maryland,13.0,,2024-09-17
Spencer Lanning,Spencer,Lanning,32.0,,P,P,,,Inactive,4.0,"5'11""",200.0,South Carolina,9.0,,2024-09-17
Bayron Matos,Bayron,Matos,23.0,MIA,OL,OL,,,Active,79.0,79,334.0,South Florida,0.0,,2024-09-17
Mitchell VanDyk,Mitchell,VanDyk,27.0,,OT,OL,,,Inactive,69.0,"6'9""",290.0,Portland St,1.0,,2024-09-17
Jack Crawford,Jack,Crawford,33.0,,DT,DL,,,Active,69.0,77,281.0,Penn State,10.0,,2024-09-17
Zack Johnson,Zack,Johnson,27.0,,OL,OL,,,Active,68.0,78,301.0,North Dakota State,4.0,,2024-09-17
Tyrique McGhee,Tyrique,McGhee,23.0,,DB,DB,,,Active,0.0,70,187.0,Georgia,2.0,,2024-09-17
Beniquez Brown,Beniquez,Brown,25.0,,OLB,LB,,,Inactive,43.0,"6'1""",229.0,Mississippi State,0.0,,2024-09-17
Jared Veldheer,Jared,Veldheer,37.0,,OT,"OL,OT",,,Active,69.0,80,293.0,Hillsdale,14.0,,2024-09-17
Donteea Dye,Donteea,Dye,27.0,,WR,WR,,,Inactive,15.0,"6'0""",195.0,Heidelberg,5.0,,2024-09-17
Gabe Marks,Gabe,Marks,27.0,,WR,WR,,,Active,2.0,72,190.0,Washington State,5.0,,2024-09-17
Moubarak Djeri,Moubarak,Djeri,26.0,,DE,DL,,,Active,0.0,76,309.0,No College,4.0,,2024-09-17
Kadeem Telfort,Kadeem,Telfort,25.0,GB,T,,OL,,Active,76.0,79,322.0,UAB,1.0,,2024-09-17
David Durden,David,Durden,25.0,,WR,WR,,,Active,85.0,74,200.0,West Florida,1.0,Questionable,2024-09-17
Lawrence Timmons,Lawrence,Timmons,34.0,,LB,LB,,,Inactive,94.0,"6'1""",242.0,Florida State,13.0,,2024-09-17
Justin Manton,Justin,Manton,25.0,,K,K,,,Inactive,3.0,"6'3""",196.0,Louisiana-Monroe,0.0,,2024-09-17
