full_name,first_name,last_name,age,team,position,fantasy_positions,depth_chart_position,depth_chart_order,status,number,height,weight,college,years_exp,injury_status,cache_date
Krishawn Hogan,Krishawn,Hogan,26.0,,WR,WR,,,Active,0.0,75,217.0,Marian (IN),5.0,,2024-09-17
Darius Hodges,Darius,Hodges,,,DE,DL,,,Active,97.0,74,280.0,Tulane,0.0,,2024-09-17
Alonzo Harris,Alonzo,Harris,27.0,,RB,RB,,,Inactive,46.0,"6'1""",237.0,Louisiana-Lafayette,5.0,,2024-09-17
Charles Leno,Charles,Leno,32.0,,T,"OL,OT",,,Inactive,72.0,75,302.0,Boise State,10.0,Questionable,2024-09-17
Terrance West,Terrance,West,29.0,,RB,RB,,,Inactive,38.0,"5'10""",225.0,Towson,6.0,,2024-09-17
Ryan Delaire,Ryan,Delaire,29.0,,DE,"DL,LB",,,Inactive,92.0,76,264.0,Towson,7.0,,2024-09-17
Jeremy Chinn,Jeremy,Chinn,26.0,WAS,DB,"DB,LB",SS,1.0,Active,11.0,75,220.0,Southern Illinois,4.0,,2024-09-17
Tanner Mordecai,Tanner,Mordecai,24.0,SF,QB,QB,,,Active,4.0,74,218.0,Wisconsin,0.0,,2024-09-17
Cairo Santos,Cairo,Santos,32.0,CHI,K,K,K,1.0,Active,8.0,68,175.0,Tulane,10.0,,2024-09-17
Sammy Seamster,Sammy,Seamster,29.0,,CB,DB,,,Inactive,29.0,"6'0""",205.0,Middle Tennessee,6.0,,2024-09-17
Lynden Trail,Lynden,Trail,30.0,,OLB,LB,,,Inactive,48.0,79,269.0,Norfolk State,7.0,,2024-09-17
Sage Doxtater,Sage,Doxtater,24.0,,OL,OL,,,Active,77.0,79,350.0,New Mexico State,0.0,,2024-09-17
Javier Arenas,Javier,Arenas,29.0,,CB,DB,,,Inactive,21.0,"5'9""",197.0,Alabama,6.0,,2024-09-17
Devon Johnson,Devon,Johnson,28.0,,RB,RB,,,Active,0.0,73,244.0,Marshall,6.0,,2024-09-17
